usuario,nombre,email,codigo_invitacion,enlace,clave_temporal,mensaje
usuario01,Usuario 01,usuario01@porra.local,PM26-7KQ4-X9RD,https://tu-dominio.com/?invite=PM26-7KQ4-X9RD,Copa2026-01,"Hola Usuario 01, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-7KQ4-X9RD y regístrate con tu email usuario01@porra.local. Clave temporal sugerida: Copa2026-01"
usuario02,Usuario 02,usuario02@porra.local,PM26-H3VN-8LPA,https://tu-dominio.com/?invite=PM26-H3VN-8LPA,Copa2026-02,"Hola Usuario 02, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-H3VN-8LPA y regístrate con tu email usuario02@porra.local. Clave temporal sugerida: Copa2026-02"
usuario03,Usuario 03,usuario03@porra.local,PM26-W8CJ-2MTE,https://tu-dominio.com/?invite=PM26-W8CJ-2MTE,Copa2026-03,"Hola Usuario 03, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-W8CJ-2MTE y regístrate con tu email usuario03@porra.local. Clave temporal sugerida: Copa2026-03"
usuario04,Usuario 04,usuario04@porra.local,PM26-Q2ZF-6BNY,https://tu-dominio.com/?invite=PM26-Q2ZF-6BNY,Copa2026-04,"Hola Usuario 04, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-Q2ZF-6BNY y regístrate con tu email usuario04@porra.local. Clave temporal sugerida: Copa2026-04"
usuario05,Usuario 05,usuario05@porra.local,PM26-M5RX-4VJD,https://tu-dominio.com/?invite=PM26-M5RX-4VJD,Copa2026-05,"Hola Usuario 05, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-M5RX-4VJD y regístrate con tu email usuario05@porra.local. Clave temporal sugerida: Copa2026-05"
usuario06,Usuario 06,usuario06@porra.local,PM26-L9AB-7QHG,https://tu-dominio.com/?invite=PM26-L9AB-7QHG,Copa2026-06,"Hola Usuario 06, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-L9AB-7QHG y regístrate con tu email usuario06@porra.local. Clave temporal sugerida: Copa2026-06"
usuario07,Usuario 07,usuario07@porra.local,PM26-T4GY-9WKC,https://tu-dominio.com/?invite=PM26-T4GY-9WKC,Copa2026-07,"Hola Usuario 07, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-T4GY-9WKC y regístrate con tu email usuario07@porra.local. Clave temporal sugerida: Copa2026-07"
usuario08,Usuario 08,usuario08@porra.local,PM26-C6NP-3FVS,https://tu-dominio.com/?invite=PM26-C6NP-3FVS,Copa2026-08,"Hola Usuario 08, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-C6NP-3FVS y regístrate con tu email usuario08@porra.local. Clave temporal sugerida: Copa2026-08"
usuario09,Usuario 09,usuario09@porra.local,PM26-Z1LD-5RQA,https://tu-dominio.com/?invite=PM26-Z1LD-5RQA,Copa2026-09,"Hola Usuario 09, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-Z1LD-5RQA y regístrate con tu email usuario09@porra.local. Clave temporal sugerida: Copa2026-09"
usuario10,Usuario 10,usuario10@porra.local,PM26-N7KS-2YBX,https://tu-dominio.com/?invite=PM26-N7KS-2YBX,Copa2026-10,"Hola Usuario 10, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-N7KS-2YBX y regístrate con tu email usuario10@porra.local. Clave temporal sugerida: Copa2026-10"
usuario11,Usuario 11,usuario11@porra.local,PM26-F8TR-6EHM,https://tu-dominio.com/?invite=PM26-F8TR-6EHM,Copa2026-11,"Hola Usuario 11, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-F8TR-6EHM y regístrate con tu email usuario11@porra.local. Clave temporal sugerida: Copa2026-11"
usuario12,Usuario 12,usuario12@porra.local,PM26-Y3VC-8JQP,https://tu-dominio.com/?invite=PM26-Y3VC-8JQP,Copa2026-12,"Hola Usuario 12, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-Y3VC-8JQP y regístrate con tu email usuario12@porra.local. Clave temporal sugerida: Copa2026-12"
usuario13,Usuario 13,usuario13@porra.local,PM26-B5QW-1LNZ,https://tu-dominio.com/?invite=PM26-B5QW-1LNZ,Copa2026-13,"Hola Usuario 13, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-B5QW-1LNZ y regístrate con tu email usuario13@porra.local. Clave temporal sugerida: Copa2026-13"
usuario14,Usuario 14,usuario14@porra.local,PM26-R2ME-7CPD,https://tu-dominio.com/?invite=PM26-R2ME-7CPD,Copa2026-14,"Hola Usuario 14, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-R2ME-7CPD y regístrate con tu email usuario14@porra.local. Clave temporal sugerida: Copa2026-14"
usuario15,Usuario 15,usuario15@porra.local,PM26-J9UH-4XSV,https://tu-dominio.com/?invite=PM26-J9UH-4XSV,Copa2026-15,"Hola Usuario 15, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-J9UH-4XSV y regístrate con tu email usuario15@porra.local. Clave temporal sugerida: Copa2026-15"
usuario16,Usuario 16,usuario16@porra.local,PM26-X6DA-8NKT,https://tu-dominio.com/?invite=PM26-X6DA-8NKT,Copa2026-16,"Hola Usuario 16, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-X6DA-8NKT y regístrate con tu email usuario16@porra.local. Clave temporal sugerida: Copa2026-16"
usuario17,Usuario 17,usuario17@porra.local,PM26-D4LS-9FBQ,https://tu-dominio.com/?invite=PM26-D4LS-9FBQ,Copa2026-17,"Hola Usuario 17, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-D4LS-9FBQ y regístrate con tu email usuario17@porra.local. Clave temporal sugerida: Copa2026-17"
usuario18,Usuario 18,usuario18@porra.local,PM26-V7PY-3MCR,https://tu-dominio.com/?invite=PM26-V7PY-3MCR,Copa2026-18,"Hola Usuario 18, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-V7PY-3MCR y regístrate con tu email usuario18@porra.local. Clave temporal sugerida: Copa2026-18"
usuario19,Usuario 19,usuario19@porra.local,PM26-A8KN-5TJL,https://tu-dominio.com/?invite=PM26-A8KN-5TJL,Copa2026-19,"Hola Usuario 19, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-A8KN-5TJL y regístrate con tu email usuario19@porra.local. Clave temporal sugerida: Copa2026-19"
usuario20,Usuario 20,usuario20@porra.local,PM26-S1GE-6WXD,https://tu-dominio.com/?invite=PM26-S1GE-6WXD,Copa2026-20,"Hola Usuario 20, te invito a participar en la Porra del Mundial 2026. Entra en https://tu-dominio.com/?invite=PM26-S1GE-6WXD y regístrate con tu email usuario20@porra.local. Clave temporal sugerida: Copa2026-20"
